year,doy,tmin,tmax,snow,calculated_snow,tcrown_min,tcrown_max,tcrown_avg,tcrown_kill,damage_occurence,damage,survive,hardening,hardening_first_stage,hardening_second_stage,dehardening_first_stage,dehardening_second_stage,forecasted
2022,274,0.2,23.5,0,0,0.2,23.5,11.9,-6,0,0,100,0,0,0,-0.27,-0.54,0
2022,275,2.9,27.2,0,0,2.9,27.2,15.1,-6,0,0,100,0,0,0,-0.344,-0.688,0
2022,276,2.7,24.7,0,0,2.7,24.7,13.7,-6,0,0,100,0,0,0,-0.294,-0.588,0
2022,277,3.3,26.3,0,0,3.3,26.3,14.8,-6,0,0,100,0,0,0,-0.326,-0.652,0
2022,278,2.6,25.4,0,0,2.6,25.4,14,-6,0,0,100,0,0,0,-0.308,-0.616,0
2022,279,7.5,21.6,0,0,7.5,21.6,14.6,-6,0,0,100,0,0,0,-0.232,-0.464,0
2022,280,4.4,21.5,0,0,4.4,21.5,13,-6,0,0,100,0,0,0,-0.23,-0.46,0
2022,281,10.8,20.8,0,0,10.8,20.8,15.8,-6,0,0,100,0,0,0,-0.216,-0.432,0
2022,282,3.8,22.3,0,0,3.8,22.3,13.1,-6,0,0,100,0,0,0,-0.246,-0.492,0
2022,283,5.5,16.3,0,0,5.5,16.3,10.9,-6,0,0,100,0,0,0,-0.126,-0.252,0
2022,284,9.7,17.7,0,0,9.7,17.7,13.7,-6,0,0,100,0,0,0,-0.154,-0.308,0
2022,285,11.3,19.1,0,0,11.3,19.1,15.2,-6,0,0,100,0,0,0,-0.182,-0.364,0
2022,286,4.1,20.4,0,0,4.1,20.4,12.3,-6,0,0,100,0,0,0,-0.208,-0.416,0
2022,287,4.3,23.5,0,0,4.3,23.5,13.9,-6,0,0,100,0,0,0,-0.27,-0.54,0
2022,288,3.7,23.4,0,0,3.7,23.4,13.6,-6,0,0,100,0,0,0,-0.268,-0.536,0
2022,289,3.8,22.7,0,0,3.8,22.7,13.3,-6,0,0,100,0,0,0,-0.254,-0.508,0
2022,290,12,23,0,0,12,23,17.5,-6,0,0,100,0,0,0,-0.26,-0.52,0
2022,291,7,26.5,0,0,7,26.5,16.8,-6,0,0,100,0,0,0,-0.33,-0.66,0
2022,292,11.6,23.5,0,0,11.6,23.5,17.6,-6,0,0,100,0,0,0,-0.27,-0.54,0
2022,293,12.4,19.9,0,0,12.4,19.9,16.2,-6,0,0,100,0,0,0,-0.198,-0.396,0
2022,294,12.1,18.2,0,0,12.1,18.2,15.2,-6,0,0,100,0,0,0,-0.164,-0.328,0
2022,295,11.6,20.5,0,0,11.6,20.5,16.1,-6,0,0,100,0,0,0,-0.21,-0.42,0
